username;view_count;like_count;comment_count;save_count;engagement_rate_influencer
jimena.jimenezr;1448500.0;160300.0;532.0;5525.0;14.8766275
jimmydarts;169889500.0;31509800.0;259678.0;836896.0;70.47185184210527
jimmywells96;62892900.0;9162900.0;109848.0;1187796.0;24.260779047619046
jindaouis;7265700.0;975900.0;9555.0;99568.0;15.46719230496454
jjeverettrose;50505000.0;8043000.0;48815.0;770105.0;32.157007407407406
jkartsoccer_tiktok;16650900.0;1489100.0;1393.0;237115.0;132.92693149107657
jlo;29733300.0;2012600.0;29265.0;45766.0;86.87521383315733
jmartineze_;553600.0;67506.0;602.0;2393.0;9.82172493276988
joaodoce;82525300.0;5737900.0;50817.0;346685.0;51.84251209302325
joaoferdnan;7480900.0;1281000.0;19315.0;47453.0;15.734425956738768
joe.bartolozzi;2180100.0;343500.0;4251.0;31238.0;14.930798428571428
joelbergs;139900000.0;20674600.0;113886.0;746900.0;882.4714993954051
joerauth_;5081000.0;1077300.0;2746.0;65356.0;37.94196230769231
johaanzu;6839300.0;708800.0;11808.0;54444.0;17.790447719298246
johnsonfiles;4187335.0;585870.0;6278.0;24682.0;336.5996153846154
jolly_good_ginger;15488400.0;1292900.0;21428.0;43806.0;22.74641376884422
jombospice;2739000.0;241900.0;2184.0;13869.0;16.14524735729387
jonata_26;2121300.0;404635.0;1772.0;20545.0;45.721551516853935
jongmineyo;1047400.0;109116.0;870.0;3572.0;86.73678946666666
jordanavucetic;1929600.0;301088.0;4843.0;10458.0;61.995080446428574
jorgito_guayaco_o;2930100.0;120605.0;1151.0;8146.0;24.636762763157893
jorgitoparrillero;32167400.0;2087088.0;5362.0;190426.0;114776.0780141844
jose_arrt;1227200.0;19645.0;723.0;1296.0;13.85545913580247
jostyle_17;625500.0;76065.0;4164.0;3260.0;42.40966055865922
joycaledelire;4145400.0;402700.0;2123.0;22758.0;26.423889096774193
juandamc;30100000.0;6531300.0;23753.0;345900.0;19.226742647849463
jubiandxian;106600000.0;13783700.0;51237.0;459386.0;38.961825784313724
